Open,High,Low,Close,SMA_50,SMA_200,RSI_14,ATR,ATR_Percent,Volatility_Class,Trend_Status,Extension_Status,Swing_Eligibility,Swing_Score,Swing_Label,Ticker,Date,Session
547.0499877929688,557.3499755859375,545.4000244140625,556.25,581.9930017089844,597.7609991455079,45.42211126392069,11.714290073939733,2.1059397885734352,LOW_VOL,Recovery,0.0,0.0,14.0,NEUTRAL,GHCL,2026-01-14,OPEN
943.2000122070312,943.2000122070312,901.7000122070312,915.75,952.66,1126.846248474121,42.551780965121104,26.882145472935267,2.9355332211777525,LOW_VOL,Recovery,0.0,0.0,12.0,NEUTRAL,EXCELINDUS,2026-01-14,OPEN
814.4000244140625,815.25,802.0499877929688,805.3499755859375,857.64,932.8850015258789,33.03466470872439,18.960728236607142,2.354346409809244,LOW_VOL,Recovery,0.0,0.0,10.0,FORBIDDEN,CARBORUNIV,2026-01-14,OPEN
730.1500244140625,732.9000244140625,718.5,723.0,733.1899987792968,832.0170010375977,46.81382193927303,18.264286586216517,2.5261807173190203,LOW_VOL,Recovery,0.0,0.0,14.0,NEUTRAL,JUSTDIAL,2026-01-14,OPEN
705.2000122070312,717.9000244140625,705.2000122070312,711.4000244140625,723.6560021972656,772.3665008544922,36.982542394675185,18.496429443359375,2.600004049563222,LOW_VOL,Recovery,0.0,0.0,10.0,FORBIDDEN,ZENSARTECH,2026-01-14,OPEN
579.0,590.5,575.2999877929688,587.2999877929688,615.4450048828126,670.1130017089844,37.39887607162878,15.557137625558036,2.6489252424507352,LOW_VOL,Recovery,0.0,0.0,10.0,FORBIDDEN,MOLDTKPAC,2026-01-14,OPEN
649.6500244140625,650.0499877929688,641.6500244140625,643.5499877929688,687.4629992675781,853.2749981689453,24.969898248496392,16.06070818219866,2.4956426830615404,LOW_VOL,Recovery,0.0,0.0,10.0,FORBIDDEN,ROUTE,2026-01-14,OPEN
639.0,651.75,639.0,643.0999755859375,705.05,805.9799993896485,27.4005536079663,22.917859758649552,3.563654272847509,MID_VOL,Recovery,0.0,0.0,8.0,FORBIDDEN,DENORA,2026-01-14,OPEN
908.0,916.5,903.0,909.4000244140625,912.6359997558594,858.4200009155273,52.12159866410775,21.296430315290177,2.341811056032435,LOW_VOL,Bull,0.0,1.0,21.0,BUY,FORTIS,2026-01-14,OPEN
620.4000244140625,625.0,600.6500244140625,606.1500244140625,700.7830017089843,849.9122497558594,12.6341790895831,18.824999128069198,3.105666645195051,MID_VOL,Recovery,0.0,0.0,8.0,FORBIDDEN,SALZERELEC,2026-01-14,OPEN
1015.2000122070312,1027.699951171875,966.2000122070312,970.2999877929688,1054.7540026855468,1066.2732534790039,47.710784684253404,61.4857177734375,6.3367740437977425,HIGH_VOL,Recovery,0.0,0.0,10.0,FORBIDDEN,GLOBUSSPR,2026-01-14,OPEN
1255.0,1308.0,1253.5,1298.9000244140625,1259.1660009765626,1179.4625018310546,72.83019852947386,21.199986049107142,1.632149176274788,LOW_VOL,Bull,0.0,1.0,17.0,NEUTRAL,AXISBANK,2026-01-14,OPEN
1165.0,1189.0999755859375,1158.0,1180.0999755859375,1199.2299975585938,1144.8837490844726,41.15318741952267,27.657148088727677,2.34362754519976,LOW_VOL,Bull,0.0,1.0,19.0,BUY,AUROPHARMA,2026-01-14,OPEN
1638.300048828125,1651.4000244140625,1620.199951171875,1647.5999755859375,1819.8580151367187,1776.2820050048829,3.237009790695879,44.350027901785715,2.69179585815504,LOW_VOL,Recovery,0.0,0.0,10.0,FORBIDDEN,POLICYBZR,2026-01-14,OPEN
2085.199951171875,2105.5,2049.5,2060.0,2294.7400048828126,2618.610003662109,23.65457146186867,67.2928466796875,3.2666430427032767,MID_VOL,Recovery,0.0,0.0,8.0,FORBIDDEN,TIIL,2026-01-14,OPEN
1310.5,1335.0,1303.9000244140625,1333.699951171875,1314.5360009765625,1379.9382482910157,67.64997342526041,21.814313616071427,1.6356237845629344,LOW_VOL,Recovery,0.0,0.0,12.0,NEUTRAL,ACCELYA,2026-01-14,OPEN
1088.0,1116.0,1080.199951171875,1112.5999755859375,1137.7880029296875,1162.5982489013672,39.01397885283276,40.650015694754465,3.653605661221287,MID_VOL,Recovery,0.0,0.0,8.0,FORBIDDEN,METROBRAND,2026-01-14,OPEN
760.0,783.0499877929688,760.0,778.7000122070312,764.3160046386719,854.5265023803711,51.777327575584785,17.610722133091517,2.2615541103149996,LOW_VOL,Recovery,0.0,0.0,14.0,NEUTRAL,FINCABLES,2026-01-14,OPEN
811.9500122070312,812.0499877929688,801.0,803.5999755859375,1015.5270007324219,1219.161999206543,19.169640214758687,22.553571428571427,2.8065669628880587,LOW_VOL,Recovery,0.0,0.0,10.0,FORBIDDEN,WHIRLPOOL,2026-01-14,OPEN
958.0,958.0,931.0,945.0999755859375,993.8580017089844,850.2597503662109,46.695087936539025,42.47857230050223,4.4946115117785945,MID_VOL,Bull,0.0,1.0,19.0,BUY,ASAHIINDIA,2026-01-14,OPEN
810.0999755859375,846.0,810.0999755859375,843.3499755859375,845.9060021972656,1069.8934985351561,61.63283052461339,22.296430315290177,2.643793319588253,LOW_VOL,Recovery,0.0,0.0,14.0,NEUTRAL,POLYPLEX,2026-01-14,OPEN
795.0,801.9500122070312,790.0,791.6500244140625,875.8030041503906,928.3717517089843,16.5048313563165,15.242871965680804,1.9254558827258006,LOW_VOL,Recovery,0.0,0.0,10.0,FORBIDDEN,APLLTD,2026-01-14,OPEN
907.0,907.0,889.9500122070312,900.4500122070312,960.082998046875,947.9342489624023,30.759247016249702,28.474993024553573,3.1623069174890084,MID_VOL,Recovery,0.0,0.0,8.0,FORBIDDEN,AHLUCONT,2026-01-14,OPEN
703.2000122070312,712.5,702.0499877929688,703.0,786.4029992675781,864.2957507324219,30.850072810751513,21.989292689732142,3.1279221464768336,MID_VOL,Recovery,0.0,0.0,8.0,FORBIDDEN,NELCO,2026-01-14,OPEN
