Tickers,Score
PRAJIND,6
SHILPAMED,7
EVERESTIND,6
FAIRCHEMOR,5
VISHNU,7
MAZDA,5
OPTIEMUS,5
ARROWGREEN,5
REDTAPE,5
KRISHANA,5
FDC,7
PKTEA,7
MHRIL,6
ABSLAMC,7
DALMIASUG,6
RBLBANK,6
CSLFINANCE,6
TECHNOE,7
SEAMECLTD,6
KERNEX,6
SASKEN,7
AJANTPHARM,7
TCIEXP,5
BOROLTD,6
TAINWALCHM,5
ROSSARI,5
BIOCON,8
BALMLAWRIE,6
SHK,5
TATAPOWER,7
VIPIND,6
HAPPSTMNDS,5
BHAGERIA,5
PANACEABIO,5
SONACOMS,8
TEJASNET,5
GICRE,5
CHAMBLFERT,6
TBZ,5
DCBBANK,6
JUBLFOOD,6
HINDALCO,8
PSPPROJECT,7
JKPAPER,6
PATANJALI,6
NIACL,5
CAMLINFINE,5
SPLPETRO,7
AMBUJACEM,7
FEDERALBNK,7
UNIONBANK,6
ZYDUSWELL,7
CENTENKA,5
AGARIND,6
SBCL,8
ADANIPOWER,7
RUSTOMJEE,5
GUFICBIO,6
HEMIPROP,5
TREJHARA,5
SKYGOLD,6
ELDEHSG,5
MAHLOG,5
GUJGASLTD,7
VENUSREM,5
PAKKA,5
PRECOT,5
SSWL,7
GARFIBRES,7
SBFC,5
GENUSPOWER,6
J&KBANK,6
AWHCL,5
CARERATING,7
CIGNITITEC,7
AUTOAXLES,6
UFLEX,6
JINDALPOLY,5
EMUDHRA,7
S&SPOWER,7
LIKHITHA,7
JKLAKSHMI,7
LINCOLN,6
KSOLVES,6
KRBL,6
CHALET,7
PGEL,5
KKCL,7
APTUS,5
GRANULES,7
SRGHFL,5
VSSL,7
IONEXCHANG,5
SHREEPUSHK,7
REDINGTON,6
LOKESHMACH,5
ASHOKA,5
HARRMALAYA,6
ASAHISONG,6
GOLDIAM,5
PODDARMENT,6
M&MFIN,7
BAJAJCON,6
WIPRO,6
EIHAHOTELS,6
UNITEDTEA,7
SANGAMIND,7
CMSINFO,7
HINDOILEXP,6
HLEGLAS,5
HINDCOPPER,7
KILITCH,6
ZAGGLE,5
UTTAMSUGAR,5
GREENLAM,7
SWELECTES,5
CANBK,7
THYROCARE,5
TNPL,5
MARATHON,6
KAMATHOTEL,6
ARIHANTSUP,6
DIACABS,7
PRECWIRE,7
DCMNVL,6
MEGASTAR,6
MUKANDLTD,6
JBMA,7
BANARBEADS,6
AARVI,6
GUJAPOLLO,7
BLS,7
MBAPL,7
QUESS,5
SHOPERSTOP,6
LOTUSEYE,7
MINDTECK,5
SUNTECK,7
ROHLTD,6
INTENTECH,5
LAOPALA,6
PALASHSECU,7
PENIND,7
DABUR,8
KECL,5
SHALBY,5
VERANDA,6
ELECON,8
MCX,7
SANSERA,7
MANAPPURAM,7
JSWENERGY,7
SKMEGGPROD,5
BBTCL,5
ASHIANA,7
ORIENTBELL,5
JYOTHYLAB,5
SIRCA,7
MINDACORP,8
ORIENTELEC,5
HINDZINC,7
UNIPARTS,5
FINPIPE,5
HSCL,7
TRIVENI,7
VEDL,5
PONNIERODE,6
RITCO,6
ANANTRAJ,6
PRECAM,5
CESC,7
PRINCEPIPE,5
NCC,5
HISARMETAL,6
SUNFLAG,6
PTC,7
KSB,6
RAMKY,6
NYKAA,7
VSTIND,6
JINDRILL,5
DHARMAJ,6
AGRITECH,5
GULPOLY,5
VIDHIING,6
THOMASCOTT,5
SESHAPAPER,7
SURYODAY,5
EVEREADY,7
BOMDYEING,5
SPARC,5
PREMEXPLN,6
DLINKINDIA,6
GEECEE,6
KABRAEXTRU,5
INDOAMIN,5
SOMICONVEY,5
ROLEXRINGS,5
WSTCSTPAPR,6
RUCHIRA,6
BSOFT,5
BAJAJHCARE,5
NITINSPIN,7
MASFIN,7
ZUARIIND,6
NBCC,7
IFGLEXPOR,5
INDUSTOWER,6
MENONBE,6
RHL,5
INDIANHUME,6
GSPL,5
THEMISMED,5
NCLIND,6
IDBI,7
ENGINERSIN,6
MANINDS,5
DICIND,6
JIOFIN,5
LUMAXTECH,6
BANKBARODA,7
MAXIND,5
REFEX,5
PETRONET,7
GSFC,5
SOTL,5
HINDWAREAP,6
ORIENTCEM,5
AETHER,5
FMGOETZE,6
APCOTEXIND,6
JINDALSAW,5
CONSOFINVT,5
POWERGRID,7
ARTEMISMED,7
